Metric,Julián Álvarez,Ragnar Ache
Gls_per90,0.3791469194312796,0.36649214659685864
Ast_per90,0.1895734597156398,0.20942408376963348
Sh_per90,2.559241706161137,2.7225130890052354
SoT_per90,1.2322274881516586,1.1518324607329842
G/Sh,0.11,0.13
